provincia,categoría_de_conservación,superficie_en_hectáreas
Buenos Aires,I,2.0
Buenos Aires,II,870.0
Buenos Aires,III,158.0
Buenos Aires,Sin categoría,2.0
Catamarca,I,499.0
Catamarca,II,619.0
Catamarca,III,769.0
Catamarca,Sin categoría,144.0
Chaco,I,11.0
Chaco,II,6267.0
Chaco,III,13979.0
Chaco,Sin categoría,4170.0
Chubut,I,4208.0
Chubut,II,4671.0
Chubut,III,263.0
Chubut,Sin categoría,124.0
Córdoba,I,3952.0
Córdoba,II,10.0
Córdoba,III,0.0
Córdoba,Sin categoría,1228.0
Corrientes,I,187.0
Corrientes,II,300.0
Corrientes,III,449.0
Corrientes,Sin categoría,129.0
Entre Ríos,I,2343.0
Entre Ríos,II,4838.0
Entre Ríos,III,1196.0
Entre Ríos,Sin categoría,647.0
Formosa,I,50.0
Formosa,II,1712.0
Formosa,III,18612.0
Formosa,Sin categoría,12971.0
Jujuy,I,382.0
Jujuy,II,1361.0
Jujuy,III,1871.0
Jujuy,Sin categoría,84.0
La Pampa,I,0.0
La Pampa,II,580.0
La Pampa,III,1379.0
La Pampa,Sin categoría,2464.0
La Rioja,I,1129.0
La Rioja,II,1046.0
La Rioja,III,952.0
La Rioja,Sin categoría,3862.0
Mendoza,I,0.0
Mendoza,II,3.0
Mendoza,III,7.0
Mendoza,Sin categoría,8.0
Misiones,I,31.0
Misiones,II,2314.0
Misiones,III,723.0
Misiones,Sin categoría,256.0
Neuquén,I,686.0
Neuquén,II,2143.0
Neuquén,III,1.0
Neuquén,Sin categoría,56.0
Río Negro,I,4855.0
Río Negro,II,3687.0
Río Negro,III,1097.0
Río Negro,Sin categoría,66.0
Salta,I,453.0
Salta,II,3337.0
Salta,III,9918.0
Salta,Sin categoría,248.0
San Juan,I,0.0
San Juan,II,51.0
San Juan,III,0.0
San Juan,Sin categoría,21.0
San Luis,I,1951.0
San Luis,II,2673.0
San Luis,III,4593.0
San Luis,Sin categoría,716.0
Santa Cruz,I,0.0
Santa Cruz,II,20.0
Santa Cruz,III,0.0
Santa Cruz,Sin categoría,4.0
Santa Fe,I,410.0
Santa Fe,II,2715.0
Santa Fe,III,0.0
Santa Fe,Sin categoría,639.0
Santiago del Estero,I,1297.0
Santiago del Estero,II,49353.0
Santiago del Estero,III,1798.0
Santiago del Estero,Sin categoría,7494.0
Tierra del Fuego,I,0.0
Tierra del Fuego,II,162.0
Tierra del Fuego,III,0.0
Tierra del Fuego,Sin categoría,1.0
Tucumán,I,141.0
Tucumán,II,616.0
Tucumán,III,322.0
Tucumán,Sin categoría,136.0
