cultivo,anio,campania,provincia,provincia_id,departamento,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
maíz,1969,1969/1970,Córdoba,14,Ischilín,14049,3500,1300,1500,1154
maíz,1969,1969/1970,Córdoba,14,General San Martín,14042,7500,6200,9300,1500
maíz,1969,1969/1970,Buenos Aires,6,Cañuelas,6134,4100,4000,10400,2600
maíz,1969,1969/1970,Buenos Aires,6,Campana,6126,2700,2650,7155,2700
maíz,1969,1969/1970,Buenos Aires,6,Brandsen,6119,3800,3700,9620,2600
maíz,1969,1969/1970,Buenos Aires,6,Bragado,6112,27000,25000,83000,3320
maíz,1969,1969/1970,Buenos Aires,6,Arrecifes,6077,48000,48000,170800,3558
maíz,1969,1969/1970,Buenos Aires,6,25 de Mayo,6854,36000,33000,102300,3100
maíz,1969,1969/1970,Buenos Aires,6,Almirante Brown,6028,200,200,540,2700
maíz,1969,1969/1970,Buenos Aires,6,Adolfo Alsina,6007,9000,5000,6500,1300
maíz,1969,1969/1970,Buenos Aires,6,9 de Julio,6588,25000,23000,73600,3200
maíz,1969,1969/1970,Buenos Aires,6,Alberti,6021,14400,14000,48000,3429
maíz,1969,1969/1970,Buenos Aires,6,Adolfo Gonzales Chaves,6014,1400,150,210,1400
maíz,1969,1969/1970,Buenos Aires,6,Bahía Blanca,6056,9000,4000,4600,1150
maíz,1969,1969/1970,Buenos Aires,6,Bolívar,6105,24000,21800,63220,2900
maíz,1969,1969/1970,Buenos Aires,6,Azul,6049,10000,5000,9250,1850
maíz,1969,1969/1970,Buenos Aires,6,Ayacucho,6042,22000,6600,11880,1800
maíz,1969,1969/1970,Buenos Aires,6,Balcarce,6063,10000,9000,27000,3000
maíz,1969,1969/1970,Buenos Aires,6,Berazategui,6091,600,600,1620,2700
maíz,1969,1969/1970,Buenos Aires,6,Benito Juárez,6084,3000,200,280,1400
maíz,1969,1969/1970,Buenos Aires,6,Baradero,6070,22000,22000,72600,3300
maíz,1969,1969/1970,Buenos Aires,6,Capitán Sarmiento,6140,20000,20000,72000,3600
maíz,1969,1969/1970,Buenos Aires,6,Coronel Dorrego,6189,1200,100,130,1300
maíz,1969,1969/1970,Buenos Aires,6,General Paz,6343,8000,7850,20410,2600
maíz,1969,1969/1970,Buenos Aires,6,Puán,6651,15000,7000,8750,1250
maíz,1969,1969/1970,Buenos Aires,6,Coronel de Marina Leonardo Rosales,6182,3000,1000,1150,1150
maíz,1969,1969/1970,Buenos Aires,6,Carmen de Areco,6161,17000,17000,62900,3700
maíz,1969,1969/1970,Buenos Aires,6,Carlos Tejedor,6154,500,350,385,1100
maíz,1969,1969/1970,Buenos Aires,6,Carlos Casares,6147,7500,6800,19040,2800
maíz,1969,1969/1970,Buenos Aires,6,Colón,6175,44000,44000,162800,3700
maíz,1969,1969/1970,Buenos Aires,6,Chacabuco,6210,53000,53000,212000,4000
maíz,1969,1969/1970,Buenos Aires,6,Castelli,6168,4800,4000,7400,1850
maíz,1969,1969/1970,Buenos Aires,6,Chivilcoy,6224,24000,22400,80640,3600
maíz,1969,1969/1970,Buenos Aires,6,Chascomús,6217,16000,14000,27000,1929
maíz,1969,1969/1970,Buenos Aires,6,Salliqueló,6721,4000,2700,3240,1200
maíz,1969,1969/1970,Buenos Aires,6,Saladillo,6707,28000,25000,65000,2600
maíz,1969,1969/1970,Buenos Aires,6,Exaltación de la Cruz,6266,6500,6400,19840,3100
maíz,1969,1969/1970,Buenos Aires,6,Coronel Pringles,6196,1000,50,65,1300
maíz,1969,1969/1970,Buenos Aires,6,Saavedra,6700,2100,1600,2080,1300
maíz,1969,1969/1970,Buenos Aires,6,Esteban Echeverría,6260,500,500,1350,2700
maíz,1969,1969/1970,Buenos Aires,6,Daireaux,6231,8100,4100,5330,1300
maíz,1969,1969/1970,Buenos Aires,6,Coronel Suárez,6203,6200,3700,4440,1200
maíz,1969,1969/1970,Buenos Aires,6,Escobar,6252,200,200,540,2700
maíz,1969,1969/1970,Buenos Aires,6,Dolores,6238,4000,3500,6300,1800
maíz,1969,1969/1970,Buenos Aires,6,General Lavalle,6336,300,200,320,1600
maíz,1969,1969/1970,Buenos Aires,6,General Las Heras,6329,2000,1950,5070,2600
maíz,1969,1969/1970,Buenos Aires,6,General Arenales,6294,50000,50000,180000,3600
maíz,1969,1969/1970,Buenos Aires,6,General Alvear,6287,13000,11000,25300,2300
maíz,1969,1969/1970,Buenos Aires,6,Florencio Varela,6274,800,800,2160,2700
maíz,1969,1969/1970,Buenos Aires,6,General Alvarado,6280,6000,5500,17000,3091
maíz,1969,1969/1970,Buenos Aires,6,General Belgrano,6301,15000,14700,38220,2600
maíz,1969,1969/1970,Buenos Aires,6,General La Madrid,6322,6000,4000,5200,1300
maíz,1969,1969/1970,Buenos Aires,6,General Juan Madariaga,6315,3900,3400,9500,2794
maíz,1969,1969/1970,Buenos Aires,6,General Guido,6308,3200,2700,7500,2778
maíz,1969,1969/1970,Buenos Aires,6,General Villegas,6392,7000,3500,4900,1400
maíz,1969,1969/1970,Buenos Aires,6,Lobería,6476,19000,17000,49000,2882
maíz,1969,1969/1970,Buenos Aires,6,General Viamonte,6385,17000,17000,54400,3200
maíz,1969,1969/1970,Buenos Aires,6,Pilar,6638,2500,2450,8370,3416
maíz,1969,1969/1970,Buenos Aires,6,General Rodríguez,6364,500,500,1200,2400
maíz,1969,1969/1970,Buenos Aires,6,General Pinto,6351,8000,8000,16000,2000
maíz,1969,1969/1970,Buenos Aires,6,General Pueyrredón,6357,4500,4000,12000,3000
maíz,1969,1969/1970,Buenos Aires,6,La Matanza,6427,300,300,840,2800
maíz,1969,1969/1970,Buenos Aires,6,Lincoln,6469,21000,21000,67200,3200
maíz,1969,1969/1970,Buenos Aires,6,Junín,6413,46000,44500,169100,3800
maíz,1969,1969/1970,Buenos Aires,6,Guaminí,6399,9200,5200,6240,1200
maíz,1969,1969/1970,Buenos Aires,6,Hipólito Yrigoyen,6406,5000,4500,9000,2000
maíz,1969,1969/1970,Buenos Aires,6,La Plata,6441,3300,3200,8640,2700
maíz,1969,1969/1970,Buenos Aires,6,Leandro N. Alem,6462,9500,9500,39900,4200
maíz,1969,1969/1970,Buenos Aires,6,Las Flores,6455,13000,7800,14040,1800
maíz,1969,1969/1970,Buenos Aires,6,Laprida,6448,2000,100,130,1300
maíz,1969,1969/1970,Córdoba,14,General Roca,14035,30000,23900,30200,1264
maíz,1969,1969/1970,Buenos Aires,6,Lobos,6483,9100,8950,25060,2800
maíz,1969,1969/1970,Buenos Aires,6,Mercedes,6532,5000,4900,13720,2800
